No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,season,datetime,pollution_event
1,2013,3,1,0,3.0,6.0,3.0,8.0,300.0,44.0,-0.9,1025.8,-20.5,0.0,9.3,Spring,2013-03-01 00:00:00,False
2,2013,3,1,1,12.0,12.0,3.0,7.0,300.0,47.0,-1.1,1026.1,-21.3,0.0,9.4,Spring,2013-03-01 01:00:00,False
3,2013,3,1,2,14.0,14.0,13.572038687514807,7.0,200.0,22.0,-1.7,1026.2,-23.0,0.0,8.6,Spring,2013-03-01 02:00:00,False
4,2013,3,1,3,12.0,12.0,3.0,5.0,1187.0639785927142,55.20132076247208,-2.1,1027.3,-23.3,0.0,6.6,Spring,2013-03-01 03:00:00,False
5,2013,3,1,4,12.0,12.0,3.0,43.90886473782605,200.0,11.0,-2.4,1027.7,-22.9,0.0,4.5,Spring,2013-03-01 04:00:00,False
6,2013,3,1,5,11.0,11.0,3.0,7.0,200.0,45.0,-2.8,1028.2,-22.1,0.0,1.7,Spring,2013-03-01 05:00:00,False
7,2013,3,1,6,12.0,12.0,3.0,9.0,300.0,74.0,-4.0,1029.0,-21.2,0.0,1.6,Spring,2013-03-01 06:00:00,False
8,2013,3,1,7,13.0,13.0,3.0,23.0,300.0,59.0,-2.4,1030.5,-21.3,0.0,1.7,Spring,2013-03-01 07:00:00,False
9,2013,3,1,8,8.0,8.0,3.0,19.0,400.0,66.0,-1.0,1031.2,-21.8,0.0,2.7,Spring,2013-03-01 08:00:00,False
10,2013,3,1,9,3.0,6.0,3.0,21.0,400.0,60.0,0.0,1031.3,-22.9,0.0,0.8,Spring,2013-03-01 09:00:00,False
11,2013,3,1,10,3.0,6.0,3.0,22.0,400.0,64.0,0.7,1031.3,-21.6,0.0,2.5,Spring,2013-03-01 10:00:00,False
12,2013,3,1,11,6.0,6.0,3.0,16.0,300.0,67.0,1.7,1030.9,-21.5,0.0,1.4,Spring,2013-03-01 11:00:00,False
13,2013,3,1,12,8.0,8.0,3.0,12.0,300.0,64.0,2.8,1030.1,-20.6,0.0,2.1,Spring,2013-03-01 12:00:00,False
14,2013,3,1,13,5.0,5.0,3.0,9.0,300.0,74.0,3.7,1028.9,-20.6,0.0,2.1,Spring,2013-03-01 13:00:00,False
15,2013,3,1,14,5.0,5.0,3.0,10.0,400.0,73.0,4.6,1028.6,-20.7,0.0,3.4,Spring,2013-03-01 14:00:00,False
16,2013,3,1,15,8.0,8.0,3.0,11.0,400.0,75.0,5.2,1028.5,-20.2,0.0,2.6,Spring,2013-03-01 15:00:00,False
17,2013,3,1,16,7.0,7.0,3.0,12.0,400.0,73.0,4.9,1028.6,-20.4,0.0,1.0,Spring,2013-03-01 16:00:00,False
18,2013,3,1,17,10.0,10.0,3.0,12.0,400.0,78.0,4.1,1029.0,-19.5,0.0,2.0,Spring,2013-03-01 17:00:00,False
19,2013,3,1,18,3.0,6.0,3.0,18.0,400.0,76.0,2.3,1030.1,-17.3,0.0,0.6,Spring,2013-03-01 18:00:00,False
20,2013,3,1,19,3.0,8.0,3.0,21.0,400.0,71.0,1.6,1030.9,-19.0,0.0,1.9,Spring,2013-03-01 19:00:00,False
21,2013,3,1,20,13.0,13.0,3.0,17.0,500.0,70.0,0.6,1031.9,-18.7,0.0,2.0,Spring,2013-03-01 20:00:00,False
22,2013,3,1,21,9.0,14.0,3.0,14.0,500.0,72.0,0.2,1032.8,-18.5,0.0,2.5,Spring,2013-03-01 21:00:00,False
23,2013,3,1,22,5.0,11.0,3.0,11.0,400.0,74.0,-0.3,1033.4,-18.5,0.0,2.2,Spring,2013-03-01 22:00:00,False
24,2013,3,1,23,9.0,11.0,3.0,8.0,400.0,78.0,-0.7,1033.1,-17.9,0.0,2.8,Spring,2013-03-01 23:00:00,False
25,2013,3,2,0,5.0,7.0,3.0,8.0,300.0,78.0,-1.0,1033.0,-18.1,0.0,3.2,Spring,2013-03-02 00:00:00,False
26,2013,3,2,1,3.0,6.0,3.0,8.0,300.0,76.0,-1.5,1033.7,-18.1,0.0,1.0,Spring,2013-03-02 01:00:00,False
27,2013,3,2,2,4.0,4.0,3.0,8.0,300.0,77.0,-1.6,1033.3,-18.2,0.0,2.1,Spring,2013-03-02 02:00:00,False
28,2013,3,2,3,8.0,8.0,3.0,8.0,300.0,77.0,-2.0,1033.0,-18.1,0.0,1.4,Spring,2013-03-02 03:00:00,False
29,2013,3,2,4,6.0,6.0,3.0,8.0,300.0,78.0,-2.5,1033.0,-17.7,0.0,1.7,Spring,2013-03-02 04:00:00,False
30,2013,3,2,5,6.0,6.0,9.0,31.0,500.0,52.0,-3.1,1032.6,-17.1,0.0,0.7,Spring,2013-03-02 05:00:00,False
31,2013,3,2,6,4.0,6.0,13.0,33.0,700.0,45.0,-2.8,1031.8,-17.2,0.0,0.9,Spring,2013-03-02 06:00:00,False
32,2013,3,2,7,13.0,98.7370263066404,12.0,31.0,700.0,49.0,-2.7,1032.3,-16.4,0.0,1.3,Spring,2013-03-02 07:00:00,False
33,2013,3,2,8,12.0,12.0,8.0,31.0,500.0,48.0,-1.5,1032.3,-16.5,0.0,1.6,Spring,2013-03-02 08:00:00,False
34,2013,3,2,9,12.0,10.0,20.0,54.0,800.0,25.0,-0.4,1032.2,-16.7,0.0,1.7,Spring,2013-03-02 09:00:00,False
35,2013,3,2,10,26.0,35.0,18.0,39.0,700.0,42.0,0.7,1031.8,-17.1,0.0,0.5,Spring,2013-03-02 10:00:00,False
36,2013,3,2,11,18.0,32.0,15.0,26.0,600.0,56.0,1.6,1031.2,-16.8,0.0,1.6,Spring,2013-03-02 11:00:00,False
37,2013,3,2,12,19.0,22.0,17.0,45.0,600.0,37.0,2.1,1030.1,-16.9,0.0,1.1,Spring,2013-03-02 12:00:00,False
38,2013,3,2,13,12.0,14.0,15.0,60.0,800.0,34.0,2.8,1028.5,-16.3,0.0,1.0,Spring,2013-03-02 13:00:00,False
39,2013,3,2,14,18.0,23.0,21.0,67.0,1000.0,27.0,3.1,1027.7,-16.6,0.0,1.2,Spring,2013-03-02 14:00:00,False
40,2013,3,2,15,32.0,34.0,22.0,66.0,1100.0,30.0,3.2,1026.9,-16.0,0.0,0.5,Spring,2013-03-02 15:00:00,False
41,2013,3,2,16,43.0,47.0,24.0,68.0,1100.0,30.0,3.1,1026.4,-15.6,0.0,1.8,Spring,2013-03-02 16:00:00,False
42,2013,3,2,17,49.0,55.0,23.0,61.0,1000.0,37.0,2.2,1026.1,-15.4,0.0,1.4,Spring,2013-03-02 17:00:00,False
43,2013,3,2,18,38.0,51.0,23.0,61.0,1000.0,34.0,1.7,1026.1,-14.9,0.0,1.5,Spring,2013-03-02 18:00:00,False
44,2013,3,2,19,52.0,54.0,26.0,76.0,1200.0,18.0,1.1,1025.7,-14.6,0.0,1.3,Spring,2013-03-02 19:00:00,False
45,2013,3,2,20,69.0,82.0,35.0,87.0,1700.0,8.0,0.7,1025.6,-14.5,0.0,1.4,Spring,2013-03-02 20:00:00,False
46,2013,3,2,21,96.0,104.0,53.0,90.0,2000.0,4.0,-0.1,1025.3,-13.8,0.0,0.8,Spring,2013-03-02 21:00:00,False
47,2013,3,2,22,108.0,123.0,46.0,88.0,2000.0,4.0,-0.2,1024.7,-13.2,0.0,1.0,Spring,2013-03-02 22:00:00,True
48,2013,3,2,23,130.0,136.0,70.0,88.0,2600.0,4.0,-0.9,1023.9,-14.8,0.0,1.6,Spring,2013-03-02 23:00:00,True
49,2013,3,3,0,125.0,153.0,45.0,85.0,2600.0,4.0,-1.2,1022.9,-13.4,0.0,1.4,Spring,2013-03-03 00:00:00,True
50,2013,3,3,1,96.0,118.0,40.0,81.0,1899.0,3.0,-2.1,1021.9,-12.2,0.0,1.0,Spring,2013-03-03 01:00:00,False
51,2013,3,3,2,84.0,92.0,42.0,84.0,2000.0,4.0,-3.8,1020.7,-11.1,0.0,0.2,Spring,2013-03-03 02:00:00,False
52,2013,3,3,3,80.0,90.0,25.0,85.0,2000.0,4.0,-4.6,1019.9,-10.2,0.0,0.1,Spring,2013-03-03 03:00:00,False
53,2013,3,3,4,81.0,92.0,11.0,82.0,3000.0,5.0,-3.8,1019.5,-10.9,0.0,1.1,Spring,2013-03-03 04:00:00,False
54,2013,3,3,5,120.0,106.0,10.0,76.0,3000.0,4.0,-5.3,1019.0,-9.9,0.0,1.1,Spring,2013-03-03 05:00:00,True
55,2013,3,3,6,88.0,108.0,10.0,73.0,2500.0,3.0,-4.1,1018.7,-11.4,0.0,0.8,Spring,2013-03-03 06:00:00,False
56,2013,3,3,7,92.0,97.0,8.0,67.0,3500.0,3.0,-2.6,1019.4,-11.9,0.0,1.4,Spring,2013-03-03 07:00:00,False
57,2013,3,3,8,113.0,122.0,23.0,65.0,2700.0,3.0,-0.1,1018.6,-12.7,0.0,2.1,Spring,2013-03-03 08:00:00,True
58,2013,3,3,9,99.0,114.0,67.0,62.0,2200.0,6.0,2.4,1018.4,-13.0,0.0,1.0,Spring,2013-03-03 09:00:00,False
59,2013,3,3,10,88.0,95.0,66.0,61.0,1800.0,15.0,4.8,1017.5,-12.7,0.0,0.9,Spring,2013-03-03 10:00:00,False
60,2013,3,3,11,85.0,92.0,61.0,65.0,1700.0,26.0,9.3,1016.2,-12.6,0.0,1.4,Spring,2013-03-03 11:00:00,False
61,2013,3,3,12,95.0,106.0,60.0,73.0,1700.0,28.0,11.8,1014.9,-13.3,0.0,2.2,Spring,2013-03-03 12:00:00,False
62,2013,3,3,13,109.0,123.0,58.0,84.0,1600.0,25.0,14.5,1013.6,-12.7,0.0,4.7,Spring,2013-03-03 13:00:00,True
63,2013,3,3,14,99.0,114.0,48.0,78.0,1399.0,33.0,15.9,1013.0,-12.5,0.0,3.4,Spring,2013-03-03 14:00:00,False
64,2013,3,3,15,70.0,107.0,28.0,64.0,1100.0,44.0,15.6,1013.0,-12.8,0.0,3.1,Spring,2013-03-03 15:00:00,False
65,2013,3,3,16,45.0,96.0,23.0,42.0,900.0,64.0,14.9,1013.0,-12.4,0.0,1.6,Spring,2013-03-03 16:00:00,False
66,2013,3,3,17,41.0,73.0,15.0,34.0,800.0,72.0,13.0,1013.4,-13.1,0.0,1.1,Spring,2013-03-03 17:00:00,False
67,2013,3,3,18,42.0,67.0,10.0,36.0,700.0,70.0,8.4,1014.4,-11.0,0.0,0.0,Spring,2013-03-03 18:00:00,False
68,2013,3,3,19,39.0,66.0,11.0,49.0,700.0,47.0,5.3,1015.5,-9.7,0.0,0.9,Spring,2013-03-03 19:00:00,False
69,2013,3,3,20,26.0,67.0,25.0,63.0,800.0,27.0,10.4,1015.7,-12.3,0.0,2.4,Spring,2013-03-03 20:00:00,False
70,2013,3,3,21,34.0,64.0,20.0,60.0,1300.0,27.0,7.4,1016.0,-8.3,0.0,1.5,Spring,2013-03-03 21:00:00,False
71,2013,3,3,22,47.0,68.0,16.0,44.0,1100.0,44.0,5.9,1016.5,-11.3,0.0,1.4,Spring,2013-03-03 22:00:00,False
72,2013,3,3,23,38.0,55.0,19.0,54.0,1000.0,28.0,8.7,1017.2,-11.3,0.0,4.2,Spring,2013-03-03 23:00:00,False
